model,year,price,type,distance,fuel,tax,miles per galoon,size
8,2016.0,15998.0,2,52029.0,0,125.0,56.5,2.1
8,2017.0,17850.0,1,18692.0,2,145.0,48.7,1.6
8,2020.0,27998.0,2,3930.0,2,150.0,35.8,1.6
8,2015.0,18498.0,2,22888.0,0,125.0,55.4,2.1
8,2016.0,19498.0,2,27846.0,0,125.0,56.5,2.1
8,2014.0,15698.0,2,43696.0,0,145.0,55.4,2.1
8,2015.0,18998.0,2,33114.0,0,125.0,56.5,2.1
8,2017.0,19750.0,0,15258.0,0,30.0,64.2,2.1
8,2015.0,17624.0,0,29505.0,0,125.0,55.4,2.1
8,2016.0,18980.0,0,41713.0,0,125.0,56.6,2.1
8,2014.0,14998.0,2,64001.0,0,145.0,55.4,2.1
8,2015.0,18498.0,2,18106.0,0,125.0,56.6,2.1
9,2017.0,20998.0,2,40949.0,0,125.0,56.5,2.1
9,2016.0,21998.0,2,49986.0,0,125.0,56.5,2.1
9,2017.0,23498.0,2,32902.0,0,125.0,56.5,2.1
9,2016.0,25780.0,0,34358.0,0,125.0,56.5,2.1
9,2017.0,24998.0,2,44847.0,0,125.0,56.5,2.1
9,2018.0,31998.0,2,11605.0,0,145.0,56.5,2.1
9,2018.0,33998.0,2,7220.0,0,145.0,56.5,2.1
9,2016.0,25998.0,2,40220.0,0,145.0,56.5,2.1
9,2019.0,34998.0,2,423.0,0,145.0,56.5,2.1
9,2017.0,37998.0,2,20418.0,2,145.0,34.0,3.0
9,2016.0,20998.0,2,37045.0,0,125.0,56.5,2.1
9,2019.0,33729.0,0,11301.0,0,145.0,56.5,2.1
9,2016.0,23498.0,2,46259.0,0,125.0,56.5,2.1
9,2016.0,24995.0,0,40343.0,0,125.0,56.5,2.1
9,2017.0,26998.0,2,9172.0,0,145.0,56.5,2.1
9,2016.0,28995.0,2,31600.0,0,145.0,56.5,2.1
9,2018.0,32498.0,2,12517.0,0,145.0,45.6,3.0
9,2017.0,25498.0,2,17967.0,0,150.0,56.5,2.1
9,2019.0,35611.0,0,26153.0,0,145.0,45.6,3.0
9,2018.0,30682.0,0,14517.0,0,145.0,56.5,2.1
9,2016.0,23998.0,2,42809.0,0,125.0,56.5,2.1
9,2018.0,27590.0,2,16776.0,0,145.0,56.5,2.1
9,2019.0,35998.0,2,7540.0,0,145.0,40.9,2.0
9,2016.0,22998.0,2,30162.0,0,125.0,56.5,2.1
9,2016.0,24998.0,2,30639.0,0,125.0,56.5,2.1
9,2019.0,37116.0,0,6250.0,0,145.0,40.9,2.0
9,2019.0,30799.0,0,9886.0,0,145.0,41.5,2.1
9,2019.0,32998.0,2,12831.0,0,145.0,44.8,2.0
9,2016.0,21998.0,2,27894.0,0,125.0,56.5,2.1
9,2015.0,24498.0,2,23487.0,0,125.0,56.5,2.1
9,2016.0,21500.0,2,23349.0,0,125.0,56.5,2.1
9,2017.0,29998.0,2,23326.0,0,150.0,56.5,2.1
9,2017.0,26995.0,2,37950.0,0,145.0,56.5,2.1
9,2020.0,37998.0,2,5538.0,0,150.0,40.9,2.0
10,2015.0,25498.0,2,29078.0,0,200.0,47.9,2.1
10,2017.0,28998.0,2,18855.0,0,200.0,47.9,2.1
10,2017.0,31298.0,2,12122.0,0,145.0,47.9,2.1
